operation,changed_option,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,full_set_preference_rank,preference_score_change,pairwise_preference_reversals_among_retained
remove,Reference: no additional intervention,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,27612.155124708246,170755.2100641779,0.7882,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
remove,Reference: no additional intervention,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,1659682.408328149,2149551.464717827,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,2,False,3,0.0,0
remove,Reference: no additional intervention,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,498068.560099584,666608.0929890807,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,2,False,3,0.0,0
remove,Reference: no additional intervention,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,0.0,0.0,1.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,1,True,2,0.0,0
remove,Reference: no additional intervention,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
remove,Reference: no additional intervention,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
remove,Reference: no additional intervention,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,3,0.0,0
add_copy,Reference: no additional intervention,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,5,False,4,0.0,0
add_copy,Reference: no additional intervention,combined_private,Diagnostic copy of Reference: no additional intervention,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.23505,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,,,0
add_copy,Reference: no additional intervention,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,4,False,3,0.0,0
add_copy,Reference: no additional intervention,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
add_copy,Reference: no additional intervention,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.23505,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
add_copy,Reference: no additional intervention,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,4,False,3,0.0,0
add_copy,Reference: no additional intervention,owner,Diagnostic copy of Reference: no additional intervention,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,,,0
add_copy,Reference: no additional intervention,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,4,False,3,0.0,0
add_copy,Reference: no additional intervention,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,3,False,2,0.0,0
add_copy,Reference: no additional intervention,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
add_copy,Reference: no additional intervention,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
add_copy,Reference: no additional intervention,tenant,Diagnostic copy of Reference: no additional intervention,False,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,,,0
add_copy,Reference: no additional intervention,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
add_copy,Reference: no additional intervention,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,3,0.0,0
add_copy,Reference: no additional intervention,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,4,0.0,0
remove,Envelope retrofit,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,773519.7428404278,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,3,False,4,0.0,0
remove,Envelope retrofit,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,186240.07365823528,563129.4849986233,0.3152,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,2,True,3,0.0,0
remove,Envelope retrofit,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87704.74146902934,467504.4961466273,0.6635,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,2,0.0,0
remove,Envelope retrofit,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,2,False,3,0.0,0
remove,Envelope retrofit,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,2,False,3,0.0,0
remove,Envelope retrofit,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
remove,Envelope retrofit,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
remove,Envelope retrofit,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
remove,Envelope retrofit,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,3,False,4,0.0,0
add_copy,Envelope retrofit,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,5,False,4,0.0,0
add_copy,Envelope retrofit,combined_private,Diagnostic copy of Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.15905,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,,,0
add_copy,Envelope retrofit,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.1905,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,4,False,3,0.0,0
add_copy,Envelope retrofit,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.15905,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
add_copy,Envelope retrofit,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,3,True,2,0.0,0
add_copy,Envelope retrofit,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,4,False,3,0.0,0
add_copy,Envelope retrofit,owner,Diagnostic copy of Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,,,0
add_copy,Envelope retrofit,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,4,False,3,0.0,0
add_copy,Envelope retrofit,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
add_copy,Envelope retrofit,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
add_copy,Envelope retrofit,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
add_copy,Envelope retrofit,tenant,Diagnostic copy of Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,,,0
add_copy,Envelope retrofit,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
add_copy,Envelope retrofit,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,3,False,3,0.0,0
add_copy,Envelope retrofit,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,5,False,4,0.0,0
remove,Envelope + heat pump,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,773361.2286877385,1566012.862753,0.0552,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,3,False,4,0.0,0
remove,Envelope + heat pump,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,62108.16182689184,232262.6532829259,0.4747,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
remove,Envelope + heat pump,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87546.22731634008,340609.93338633724,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
remove,Envelope + heat pump,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,3,0.0,0
remove,Envelope + heat pump,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
remove,Envelope + heat pump,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
remove,Envelope + heat pump,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
remove,Envelope + heat pump,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,2,False,3,0.0,0
remove,Envelope + heat pump,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,3,False,4,0.0,0
add_copy,Envelope + heat pump,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.0213,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,5,False,4,0.0,0
add_copy,Envelope + heat pump,combined_private,Diagnostic copy of Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.09525,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,,,0
add_copy,Envelope + heat pump,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,199650.57068102533,563129.4849986233,0.09525,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,3,0.0,0
add_copy,Envelope + heat pump,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,75677.17300237113,242424.1065578852,0.3181,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
add_copy,Envelope + heat pump,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101115.23849181939,467504.4961466273,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
add_copy,Envelope + heat pump,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_copy,Envelope + heat pump,owner,Diagnostic copy of Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,,,0
add_copy,Envelope + heat pump,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,3,0.0,0
add_copy,Envelope + heat pump,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
add_copy,Envelope + heat pump,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
add_copy,Envelope + heat pump,tenant,Deep renovation + PV,False,True,1320776.9292363275,1242063.0178122092,767492.1559713165,1984381.7741220377,1.0,1.0,642917.53834164,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
add_copy,Envelope + heat pump,tenant,Diagnostic copy of Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,,,0
add_copy,Envelope + heat pump,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,574334.1790463725,970570.8395861603,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,1,0.0,0
add_copy,Envelope + heat pump,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,948429.3414673023,1625591.4236395846,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,4,False,3,0.0,0
add_copy,Envelope + heat pump,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1320776.9292363275,2261399.218592416,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,5,False,4,0.0,0
remove,Deep renovation + PV,combined_private,Envelope + heat pump,False,True,-98535.33218920596,-127113.1143104246,-466506.4899170952,313775.3271781698,0.3365,0.3365,-594212.3561478612,196834.2310306601,562383.5386027169,0.2117,338816.12010782544,2.5403,0.3365,0.20771685846951837,0.3728868856895754,0.3041613104556828,3,False,3,0.0,0
remove,Deep renovation + PV,combined_private,Envelope retrofit,False,True,25438.06548944825,10716.143332460528,-156904.7524510994,231230.58808087007,0.5299,0.5299,-213787.98515465754,72860.83335200592,239682.1892301022,0.3182,83713.76431860725,1.5028,0.5299,0.7149493531271234,0.5107161433324605,0.5879529237608543,1,True,1,0.0,0
remove,Deep renovation + PV,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,98298.89884145417,467010.7203737198,0.4701,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,2,True,2,0.0,0
remove,Deep renovation + PV,owner,Envelope + heat pump,False,True,-844978.0823791609,-830733.9332642971,-1049582.7601407226,-655842.8947634205,0.0,0.0,-1155624.6474137935,844978.0823791609,1124959.8839359889,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,3,0.0,0
remove,Deep renovation + PV,owner,Envelope retrofit,False,True,-346909.522279577,-341501.36195221444,-445387.9235658161,-254618.36054802666,0.0,0.0,-490983.60600917455,346909.522279577,480428.5700760451,0.0,83713.76431860725,1.5028,0.0,0.34535519198776726,0.15849863804778555,0.17634884051244348,2,False,2,0.0,0
remove,Deep renovation + PV,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,1,0.0,0
remove,Deep renovation + PV,tenant,Envelope + heat pump,False,True,746442.750189955,700421.1621291691,426514.1166291501,1131751.9471052457,1.0,1.0,353953.5279392072,0.0,0.0,1.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,True,1,0.0,0
remove,Deep renovation + PV,tenant,Envelope retrofit,False,True,372347.58776902524,350254.64924523886,217159.9321133826,558286.7985113,1.0,1.0,182454.39352116644,374095.1624209297,655242.3813896393,0.0,83713.76431860725,1.5028,1.0,1.0,0.8502546492452389,0.9475891272358334,2,False,3,0.0,0
remove,Deep renovation + PV,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,746442.750189955,1290928.3470553344,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,3,False,4,0.0,0
add_copy,Deep renovation + PV,combined_private,Deep renovation + PV,False,True,-685815.0013713983,-726218.1454107135,-1371302.7543831323,53761.8460771281,0.1148,0.1148,-1625829.599168383,786930.2398632177,1566012.862753,0.01065,727442.5760290235,5.3733,0.1148,0.0,0.0,0.03444,4,False,4,0.0,0
